edof_c,value
0,0.897196
1,0.971726
2,0.938431
3,0.938431
4,0.971726
5,0.897196
6,0.971726
7,1.034370
8,1.002981
9,1.002981
10,1.034370
11,0.971726
12,0.938431
13,1.002981
14,0.972566
15,0.972566
16,1.002981
17,0.938431
18,0.938431
19,1.002981
20,0.972566
21,0.972566
22,1.002981
23,0.938431
24,0.971726
25,1.034370
26,1.002981
27,1.002981
28,1.034370
29,0.971726
30,0.897196
31,0.971726
32,0.938431
33,0.938431
34,0.971726
35,0.897196
36,0.971726
37,1.034370
38,1.002981
39,1.002981
40,1.034370
41,0.971726
42,1.034370
43,1.084515
44,1.055606
45,1.055606
46,1.084515
47,1.034370
48,1.002981
49,1.055606
50,1.027434
51,1.027434
52,1.055606
53,1.002981
54,1.002981
55,1.055606
56,1.027434
57,1.027434
58,1.055606
59,1.002981
60,1.034370
61,1.084515
62,1.055606
63,1.055606
64,1.084515
65,1.034370
66,0.971726
67,1.034370
68,1.002981
69,1.002981
70,1.034370
71,0.971726
72,0.938431
73,1.002981
74,0.972566
75,0.972566
76,1.002981
77,0.938431
78,1.002981
79,1.055606
80,1.027435
81,1.027435
82,1.055606
83,1.002981
84,0.972566
85,1.027434
86,1.000000
87,1.000000
88,1.027434
89,0.972566
90,0.972566
91,1.027434
92,1.000000
93,1.000000
94,1.027434
95,0.972566
96,1.002981
97,1.055606
98,1.027434
99,1.027434
100,1.055606
101,1.002981
102,0.938431
103,1.002981
104,0.972566
105,0.972566
106,1.002981
107,0.938431
108,0.938431
109,1.002981
110,0.972566
111,0.972566
112,1.002981
113,0.938431
114,1.002981
115,1.055606
116,1.027435
117,1.027435
118,1.055606
119,1.002981
120,0.972566
121,1.027434
122,1.000000
123,1.000000
124,1.027434
125,0.972566
126,0.972566
127,1.027434
128,1.000000
129,1.000000
130,1.027434
131,0.972566
132,1.002981
133,1.055606
134,1.027434
135,1.027434
136,1.055606
137,1.002981
138,0.938431
139,1.002981
140,0.972566
141,0.972566
142,1.002981
143,0.938431
144,0.971726
145,1.034370
146,1.002981
147,1.002981
148,1.034370
149,0.971726
150,1.034370
151,1.084515
152,1.055606
153,1.055606
154,1.084515
155,1.034370
156,1.002981
157,1.055606
158,1.027434
159,1.027434
160,1.055606
161,1.002981
162,1.002981
163,1.055606
164,1.027434
165,1.027434
166,1.055606
167,1.002981
168,1.034370
169,1.084515
170,1.055606
171,1.055606
172,1.084515
173,1.034370
174,0.971726
175,1.034370
176,1.002981
177,1.002981
178,1.034370
179,0.971726
180,0.897196
181,0.971726
182,0.938431
183,0.938431
184,0.971726
185,0.897196
186,0.971726
187,1.034370
188,1.002981
189,1.002981
190,1.034370
191,0.971726
192,0.938431
193,1.002981
194,0.972566
195,0.972566
196,1.002981
197,0.938431
198,0.938431
199,1.002981
200,0.972566
201,0.972566
202,1.002981
203,0.938431
204,0.971726
205,1.034370
206,1.002981
207,1.002981
208,1.034370
209,0.971726
210,0.897196
211,0.971726
212,0.938431
213,0.938431
214,0.971726
215,0.897196
